search single pattern
0x08059909 : pop eax ; ret
0x080e4a7d : inc ecx ; ret
0x080e4aed : inc ecx ; ret
0x080e4b6a : inc ecx ; ret
0x080e4bbe : inc ecx ; ret
0x080e4d8d : inc ecx ; ret
0x080e4e3d : inc ecx ; ret
0x080e4ef2 : inc ecx ; ret
0x080e4f90 : inc ecx ; ret
0x080e5018 : inc ecx ; ret
0x080e5072 : inc ecx ; ret
0x080e5251 : inc ecx ; ret
0x080e5357 : inc ecx ; ret
0x080e5389 : inc ecx ; ret
0x080e53d2 : inc ecx ; ret
0x080e5438 : inc ecx ; ret
0x080e553b : inc ecx ; ret
0x080e55d7 : inc ecx ; ret
0x080e574a : inc ecx ; ret
0x080e5758 : inc ecx ; ret
0x080e5766 : inc ecx ; ret
0x080e5773 : inc ecx ; ret
0x080e57a9 : inc ecx ; ret
0x080e5917 : inc ecx ; ret
0x080e592e : inc ecx ; ret
0x080e5984 : inc ecx ; ret
0x080e5e12 : inc ecx ; ret
0x080e5e20 : inc ecx ; ret
0x080e5e2e : inc ecx ; ret
0x080e5e3b : inc ecx ; ret
0x080e5e71 : inc ecx ; ret
0x080e5fef : inc ecx ; ret
0x080e6006 : inc ecx ; ret
0x080e605c : inc ecx ; ret
0x080e6502 : inc ecx ; ret
0x080e6510 : inc ecx ; ret
0x080e651e : inc ecx ; ret
0x080e652b : inc ecx ; ret
0x080e6561 : inc ecx ; ret
0x080e6587 : inc ecx ; ret
0x080e659e : inc ecx ; ret
0x080e65b4 : inc ecx ; ret
0x080e6723 : inc ecx ; ret
0x080e6779 : inc ecx ; ret
0x080e6bff : inc ecx ; ret
0x080e6c50 : inc ecx ; ret
0x080e6c9f : inc ecx ; ret
0x080e6cfe : inc ecx ; ret
0x080e6d6d : inc ecx ; ret
0x080e6f19 : inc ecx ; ret
0x080e6f59 : inc ecx ; ret
0x080e6f99 : inc ecx ; ret
0x080e701d : inc ecx ; ret
0x080e7031 : inc ecx ; ret
0x080e703a : inc ecx ; ret
0x080e70c7 : inc ecx ; ret
0x080e70f9 : inc ecx ; ret
0x080e715a : inc ecx ; ret
0x080e71b7 : inc ecx ; ret
0x080e7222 : inc ecx ; ret
0x080e7264 : inc ecx ; ret
0x080e73d2 : inc ecx ; ret
0x080e73e8 : inc ecx ; ret
0x080e73fe : inc ecx ; ret
0x080e7431 : inc ecx ; ret
0x080e746e : inc ecx ; ret
0x080e7477 : inc ecx ; ret
0x080e7506 : inc ecx ; ret
0x080e77ae : inc ecx ; ret
0x080e7803 : inc ecx ; ret
0x080e7831 : inc ecx ; ret
0x080e7871 : inc ecx ; ret
0x080e7884 : inc ecx ; ret
0x080e78a5 : inc ecx ; ret
0x080e78b8 : inc ecx ; ret
0x080e7942 : inc ecx ; ret
0x080e797d : inc ecx ; ret
0x080e7999 : inc ecx ; ret
0x080e7a3a : inc ecx ; ret
0x080e7ac7 : inc ecx ; ret
0x080e7b0f : inc ecx ; ret
0x080e7b69 : inc ecx ; ret
0x080e7ba9 : inc ecx ; ret
0x080e7bf4 : inc ecx ; ret
0x080e7cf6 : inc ecx ; ret
0x080e7dae : inc ecx ; ret
0x080e7e5d : inc ecx ; ret
0x080e7eac : inc ecx ; ret
0x080e7efa : inc ecx ; ret
0x080e7f17 : inc ecx ; ret
0x080e7f29 : inc ecx ; ret
0x080e7fb0 : inc ecx ; ret
0x0805cbe7 : inc edx ; ret
0x080601d7 : inc edx ; ret
0x080df214 : inc edx ; ret

search multi pattern
0x0806eb09 : pop ebx ; pop edx ; ret
0x0806eb31 : pop ecx ; pop ebx ; ret
0x0806eb30 : pop edx ; pop ecx ; pop ebx ; ret
do
